"region","value"
"alaska",3613
"alabama",100353
"arkansas",48811
"american samoa",0
"arizona",186107
"california",545787
"colorado",50324
"connecticut",50320
"district of columbia",12653
"delaware",15575
"florida",520846
"federated states of micronesia",0
"georgia",213427
"guam",411
"hawaii",3138
"iowa",48286
"idaho",24495
"illinois",193998
"indiana",73287
"kansas",30638
"kentucky",34758
"louisiana",128746
"massachusetts",120711
"maryland",95503
"maine",4042
"michigan",96191
"minnesota",60898
"missouri",57379
"northern mariana islands",48
"mississippi",66646
"montana",4952
"north carolina",134766
"north dakota",7596
"nebraska",28245
"new hampshire",6818
"new jersey",184429
"new mexico",22115
"nevada",55644
"new york",192761
"new york city",229073
"ohio",99969
"oklahoma",46159
"oregon",21010
"pennsylvania",118092
"puerto rico",22121
"palau",0
"rhode island",19738
"republic of marshall islands",0
"south carolina",99460
"south dakota",9477
"tennessee",120585
"texas",481483
"utah",44090
"virginia",100086
"virgin islands",528
"vermont",1459
"washington",62523
"wisconsin",64213
"west virginia",7563
"wyoming",3013
"united states of america",4974959
